Run	BioSample	Sample Name	Group
SRR13891864	SAMN17867969	1.CHE.S17.G1	data1
SRR13891825	SAMN17867978	10.CHE.S17.SS4	data1
SRR13891862	SAMN17867979	11.CHE.S17.SS5	data1
SRR13891861	SAMN17867980	12.CHE.S17.SS6	data1
SRR13891896	SAMN17867981	13.SMM.S17.G1	data1
SRR13891895	SAMN17867982	14.SMM.S17.G2	data1
SRR13891894	SAMN17867983	15.SMM.S17.G3	data1
SRR13891893	SAMN17867984	16.SMM.S17.G4	data1
SRR13891892	SAMN17867985	17.SMM.S17.G5	data1
SRR13891891	SAMN17867986	18.SMM.S17.G6	data1
SRR13891890	SAMN17867987	19.SMM.S17.SS1	data1
SRR13891863	SAMN17867970	2.CHE.S17.G2	data1
SRR13891889	SAMN17867988	20.SMM.S17.SS2	data1
SRR13891887	SAMN17867989	21.SMM.S17.SS3	data1
SRR13891886	SAMN17867990	22.SMM.S17.SS4	data1
SRR13891885	SAMN17867991	23.SMM.S17.SS5	data1
SRR13891884	SAMN17867992	24.SMM.S17.SS6	data1
SRR13891883	SAMN17867993	25.ZR.S17.G1	data1
SRR13891882	SAMN17867994	26.ZR.S17.G2	data1
SRR13891881	SAMN17867995	27.ZR.S17.G3	data1
SRR13891880	SAMN17867996	28.ZR.S17.G4	data1
SRR13891879	SAMN17867997	29.ZR.S17.G5	data1
SRR13891888	SAMN17867971	3.CHE.S17.G3	data1
SRR13891878	SAMN17867998	30.ZR.S17.G6	data1
SRR13891876	SAMN17867999	31.ZR.S17.SS1	data1
SRR13891875	SAMN17868000	32.ZR.S17.SS2	data1
SRR13891874	SAMN17868001	33.ZR.S17.SS3	data1
SRR13891873	SAMN17868002	34.ZR.S17.SS4	data1
SRR13891872	SAMN17868003	35.ZR.S17.SS5	data1
SRR13891871	SAMN17868004	36.ZR.S17.SS6	data1
SRR13891870	SAMN17868005	37.CHE.S19.G1	data2
SRR13891869	SAMN17868006	38.CHE.S19.G2	data2
SRR13891868	SAMN17868007	39.CHE.S19.G3	data2
SRR13891877	SAMN17867972	4.CHE.S17.G4	data1
SRR13891867	SAMN17868008	40.CHE.S19.G4	data2
SRR13891865	SAMN17868009	41.CHE.S19.G5	data2
SRR13891860	SAMN17868010	42.CHE.S19.G6	data2
SRR13891859	SAMN17868011	43.CHE.S19.SS1	data2
SRR13891858	SAMN17868012	44.CHE.S19.SS2	data2
SRR13891857	SAMN17868013	45.CHE.S19.SS3	data2
SRR13891856	SAMN17868014	46.CHE.S19.SS4	data2
SRR13891855	SAMN17868015	47.CHE.S19.SS5	data2
SRR13891854	SAMN17868016	48.CHE.S19.SS6	data2
SRR13891853	SAMN17868017	49.SMM.S19.G1	data2
SRR13891866	SAMN17867973	5.CHE.S17.G5	data1
SRR13891852	SAMN17868018	50.SMM.S19.G2	data2
SRR13891850	SAMN17868019	51.SMM.S19.G3	data2
SRR13891849	SAMN17868020	52.SMM.S19.G4	data2
SRR13891848	SAMN17868021	53.SMM.S19.G5	data2
SRR13891847	SAMN17868022	54.SMM.S19.G6	data2
SRR13891846	SAMN17868023	55.SMM.S19.SS1	data2
SRR13891845	SAMN17868024	56.SMM.S19.SS2	data2
SRR13891844	SAMN17868025	57.SMM.S19.SS3	data2
SRR13891843	SAMN17868026	58.SMM.S19.SS4	data2
SRR13891842	SAMN17868027	59.SMM.S19.SS5	data2
SRR13891851	SAMN17867974	6.CHE.S17.G6	data1
SRR13891841	SAMN17868028	60.SMM.S19.SS6	data2
SRR13891839	SAMN17868029	61.ZR.S19.G1	data2
SRR13891838	SAMN17868030	62.ZR.S19.G2	data2
SRR13891837	SAMN17868031	63.ZR.S19.G3	data2
SRR13891836	SAMN17868032	64.ZR.S19.G4	data2
SRR13891835	SAMN17868033	65.ZR.S19.G5	data2
SRR13891834	SAMN17868034	66.ZR.S19.G6	data2
SRR13891833	SAMN17868035	67.ZR.S19.SS1	data2
SRR13891832	SAMN17868036	68.ZR.S19.SS2	data2
SRR13891831	SAMN17868037	69.ZR.S19.SS3	data2
SRR13891840	SAMN17867975	7.CHE.S17.SS1	data1
SRR13891830	SAMN17868038	70.ZR.S19.SS4	data2
SRR13891828	SAMN17868039	71.ZR.S19.SS5	data2
SRR13891827	SAMN17868040	72.ZR.S19.SS6	data2
SRR13891829	SAMN17867976	8.CHE.S17.SS2	data1
SRR13891826	SAMN17867977	9.CHE.S17.SS3	data1
SRR6031021	SAMN07635231	SMM.G.01.27F	data3
SRR6031020	SAMN07635232	SMM.G.02.27F	data3
SRR6031019	SAMN07635233	SMM.G.03.27F	data3
SRR6031018	SAMN07635234	SMM.G.04.27F	data3
SRR6031025	SAMN07635235	SMM.G.05.27F	data3
SRR6031024	SAMN07635236	SMM.G.06.27F	data3
SRR6031026	SAMN07635237	SMM.G.07.27F	data3
SRR6031031	SAMN07635238	SMM.SS.01.27F	data3
SRR6031033	SAMN07635239	SMM.SS.02.27F	data3
SRR6031034	SAMN07635240	SMM.SS.03.27F	data3
SRR6031011	SAMN07635241	SMM.SS.04.27F	data3
SRR6031013	SAMN07635242	SMM.SS.05.27F	data3
SRR6031066	SAMN07635243	SMM.SS.06.27F	data3
